Table - Inference_Full Data_data-2
Public ID,Organization,Availability,System Name (click + for details),# of Nodes,Processor,Accelerator,# of Accelerators,Benchmark,Model MLC,Scenario,Units,Valid / Invalid,Division/Power,Operating System,Software,System Type Revised,Version,Division,Division Revised,Has Power,Host Processor Core Count,System Type,Result,Result at System Name
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,gptj-99.9,Server,Watts,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,5010.197909968,5010.197909968
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,llama2-70b-99,Offline,Watts,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,4952.046366279,4952.046366279
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,llama2-70b-interactive-99,Offline,Watts,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,4852.332482683,4852.332482683
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,rgat,Offline,Watts,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,2986.225788752,2986.225788752
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,llama2-70b-99,Server,Tokens/s,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,16848.58,16848.58
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,gptj-99,Offline,Watts,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,4972.457389163,4972.457389163
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,mixtral-8x7b,Server,Watts,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,5076.302744777,5076.302744777
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,llama2-70b-interactive-99.9,Offline,Samples/s,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,15553.3,15553.3
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,3d-unet-99,Offline,Watts,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,4921.335897436,4921.335897436
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,3d-unet-99.9,Offline,Samples/s,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,44.5807,44.5807
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,gptj-99,Server,Watts,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,5010.197909968,5010.197909968
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,retinanet,Server,Queries/s,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,10234.4,10234.4
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,retinanet,Offline,Watts,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,4848.689901823,4848.689901823
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,llama2-70b-99.9,Server,Watts,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,4994.261098039,4994.261098039
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,llama2-70b-interactive-99,Offline,Samples/s,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,15553.3,15553.3
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,mixtral-8x7b,Offline,Tokens/s,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,37713.6,37713.6
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,retinanet,Server,Watts,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,4850.234833333,4850.234833333
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,llama2-70b-99.9,Offline,Watts,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,4952.046366279,4952.046366279
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,mixtral-8x7b,Server,Tokens/s,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,37934.5,37934.5
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,llama2-70b-99.9,Server,Tokens/s,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,16848.58,16848.58
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,gptj-99.9,Offline,Watts,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,4972.457389163,4972.457389163
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,gptj-99,Server,Tokens/s,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,14846.7,14846.7
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,gptj-99,Offline,Tokens/s,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,14769.7,14769.7
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,llama2-70b-99.9,Offline,Tokens/s,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,18084.9,18084.9
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,llama2-70b-interactive-99,Server,Queries/s,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,11041.5,11041.5
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,llama2-70b-interactive-99.9,Server,Watts,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,4958.158873457,4958.158873457
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,llama2-70b-99,Offline,Tokens/s,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,18084.9,18084.9
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,gptj-99.9,Offline,Tokens/s,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,14769.7,14769.7
